Temperature (K),Composition (B fraction),Energy (eV),Gibbs Free Energy (eV)
300.0,0.0,-8.474410057067871,-8.474410057067871
300.0,0.1,-9.462539917564392,-9.46476778259302
300.0,0.2,-10.446787145996094,-10.45062409863436
300.0,0.30000000000000004,-11.427151742362977,-11.432079658186217
300.0,0.4,-12.40363370666504,-12.409194764117402
300.0,0.5,-13.376233038902283,-13.382001743985166
300.0,0.6000000000000001,-14.344949739074709,-14.35051079652707
300.0,0.7000000000000001,-15.309783807182313,-15.314711723005553
300.0,0.8,-16.2707352432251,-16.274572195863367
300.0,0.9,-17.227804047203065,-17.230031912231695
300.0,1.0,-18.18099021911621,-18.18099021911621
488.8888888888889,0.0,-8.474410057067871,-8.474410057067871
488.8888888888889,0.1,-9.462539917564392,-9.46617051242586
488.8888888888889,0.2,-10.446787145996094,-10.453039957702899
488.8888888888889,0.30000000000000004,-11.427151742362977,-11.435182420000851
488.8888888888889,0.4,-12.40363370666504,-12.412696170661482
488.8888888888889,0.5,-13.376233038902283,-13.385633891629944
488.8888888888889,0.6000000000000001,-14.344949739074709,-14.35401220307115
488.8888888888889,0.7000000000000001,-15.309783807182313,-15.317814484820188
488.8888888888889,0.8,-16.2707352432251,-16.276988054931905
488.8888888888889,0.9,-17.227804047203065,-17.231434642064535
488.8888888888889,1.0,-18.18099021911621,-18.18099021911621
677.7777777777778,0.0,-8.474410057067871,-8.474410057067871
677.7777777777778,0.1,-9.462539917564392,-9.467573242258702
677.7777777777778,0.2,-10.446787145996094,-10.455455816771437
677.7777777777778,0.30000000000000004,-11.427151742362977,-11.438285181815484
677.7777777777778,0.4,-12.40363370666504,-12.41619757720556
677.7777777777778,0.5,-13.376233038902283,-13.389266039274723
677.7777777777778,0.6000000000000001,-14.344949739074709,-14.357513609615228
677.7777777777778,0.7000000000000001,-15.309783807182313,-15.32091724663482
677.7777777777778,0.8,-16.2707352432251,-16.279403914000444
677.7777777777778,0.9,-17.227804047203065,-17.232837371897375
677.7777777777778,1.0,-18.18099021911621,-18.18099021911621
866.6666666666666,0.0,-8.474410057067871,-8.474410057067871
866.6666666666666,0.1,-9.462539917564392,-9.468975972091542
866.6666666666666,0.2,-10.446787145996094,-10.457871675839977
866.6666666666666,0.30000000000000004,-11.427151742362977,-11.441387943630117
866.6666666666666,0.4,-12.40363370666504,-12.41969898374964
866.6666666666666,0.5,-13.376233038902283,-13.392898186919501
866.6666666666666,0.6000000000000001,-14.344949739074709,-14.361015016159309
866.6666666666666,0.7000000000000001,-15.309783807182313,-15.324020008449454
866.6666666666666,0.8,-16.2707352432251,-16.28181977306898
866.6666666666666,0.9,-17.227804047203065,-17.234240101730215
866.6666666666666,1.0,-18.18099021911621,-18.18099021911621
1055.5555555555557,0.0,-8.474410057067871,-8.474410057067871
1055.5555555555557,0.1,-9.462539917564392,-9.470378701924382
1055.5555555555557,0.2,-10.446787145996094,-10.460287534908515
1055.5555555555557,0.30000000000000004,-11.427151742362977,-11.44449070544475
1055.5555555555557,0.4,-12.40363370666504,-12.423200390293719
1055.5555555555557,0.5,-13.376233038902283,-13.396530334564279
1055.5555555555557,0.6000000000000001,-14.344949739074709,-14.364516422703387
1055.5555555555557,0.7000000000000001,-15.309783807182313,-15.327122770264086
1055.5555555555557,0.8,-16.2707352432251,-16.28423563213752
1055.5555555555557,0.9,-17.227804047203065,-17.235642831563055
1055.5555555555557,1.0,-18.18099021911621,-18.18099021911621
1244.4444444444443,0.0,-8.474410057067871,-8.474410057067871
1244.4444444444443,0.1,-9.462539917564392,-9.471781431757222
